Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2022-10-17T18:30:00.000Z,1893.1,1931.2,1893.1,1918.1,1.85,1.74,"14,01,849"
2022-10-18T18:30:00.000Z,1920,1947,1901.65,1904.9,-0.69,-0.8,"16,36,141"
2022-10-19T18:30:00.000Z,1898.65,1917.8,1886.3,1904.15,-0.04,-0.15,"13,74,019"
2022-10-20T18:30:00.000Z,1913.7,1925,1867.1,1876.75,-1.44,-1.55,"22,25,676"
2022-10-23T18:30:00.000Z,1906,1919.9,1900,1909.75,1.76,1.65,"2,69,400"
2022-10-24T18:30:00.000Z,1915,1954.65,1891.55,1949.1,2.06,1.95,"21,36,147"
2022-10-26T18:30:00.000Z,1952.1,1971.85,1949.9,1964.05,0.77,0.65,"22,45,395"
2022-10-27T18:30:00.000Z,1972,1986,1963.8,1975.05,0.56,0.45,"20,13,794"
2022-10-30T18:30:00.000Z,1986,2034.65,1978.2,2023.1,2.43,2.32,"31,76,507"
2022-10-31T18:30:00.000Z,2032,2056,1990.05,2024.45,0.07,-0.05,"44,64,211"
2022-11-01T18:30:00.000Z,2036.5,2042,2000,2013.3,-0.55,-0.66,"18,89,651"
2022-11-02T18:30:00.000Z,2006,2022.5,1993,2008.7,-0.23,-0.34,"10,52,241"
2022-11-03T18:30:00.000Z,2010,2029.35,2004.75,2015.1,0.32,0.21,"23,12,753"
2022-11-06T18:30:00.000Z,2021.4,2032,1993,2017.65,0.13,0.01,"13,95,070"
2022-11-08T18:30:00.000Z,2025.05,2036.95,1996.25,2003.5,-0.7,-0.81,"13,01,233"
2022-11-09T18:30:00.000Z,1995,2001.85,1970.2,1977.65,-1.29,-1.4,"12,61,210"
2022-11-10T18:30:00.000Z,2003.6,2018.8,1991.95,2011.1,1.69,1.58,"12,03,125"
2022-11-13T18:30:00.000Z,2013.05,2021.9,1995.25,1999.8,-0.56,-0.67,"11,75,155"
2022-11-14T18:30:00.000Z,2003,2017,1978.1,1996.55,-0.16,-0.27,"14,50,841"
2022-11-15T18:30:00.000Z,1986,2009.85,1985.05,2003.6,0.35,0.24,"11,95,832"
2022-11-16T18:30:00.000Z,2002,2059,2001.1,2029.55,1.3,1.18,"37,86,182"
2022-11-17T18:30:00.000Z,2039,2050.95,2006.85,2024.45,-0.25,-0.36,"12,48,459"
2022-11-20T18:30:00.000Z,2019,2033,2007,2011.45,-0.64,-0.75,"7,14,687"
2022-11-21T18:30:00.000Z,2021.55,2033.15,2019.6,2029.8,0.91,0.8,"13,37,869"
2022-11-22T18:30:00.000Z,2038.95,2044,2018,2025,-0.24,-0.35,"10,46,988"
2022-11-23T18:30:00.000Z,2030.5,2060,2028.4,2052.2,1.34,1.23,"16,11,889"
2022-11-24T18:30:00.000Z,2061,2095.8,2058.45,2062.75,0.51,0.4,"26,52,761"
2022-11-27T18:30:00.000Z,2064.35,2072,2052,2064.45,0.08,-0.03,"11,05,372"
2022-11-28T18:30:00.000Z,2070,2072,2038.6,2050.55,-0.67,-0.79,"14,13,764"
2022-11-29T18:30:00.000Z,2053,2086,2045,2074.85,1.19,1.07,"21,04,550"
2022-11-30T18:30:00.000Z,2085.25,2110,2079.45,2104.25,1.42,1.3,"26,14,357"
2022-12-01T18:30:00.000Z,2096.1,2098.9,2069.15,2085.5,-0.89,-1,"19,57,264"
